0101011180|010101|202101|010401|01040101|8|0|10|29|0|0|100.0|0
0101011280|010101|202101|010401|01040101|8|0|10|29|0|1|100.0|0
0101011380|010101|202101|010401|01040101|8|0|10|29|0|2|100.0|0
0101012180|010101|202101|010401|01040101|8|0|10|29|1|0|100.0|0
0101012280|010101|202101|010401|01040101|8|0|10|29|1|1|100.0|0
0101012380|010101|202101|010401|01040101|8|0|10|29|1|2|100.0|0
0101013180|010101|202101|010401|01040101|8|0|10|29|2|0|200.0|0
0101013280|010101|202101|010401|01040101|8|0|10|29|2|1|200.0|0
0101013380|010101|202101|010401|01040101|8|0|10|29|2|2|200.0|0
010101111230|010101|202101|010401|01040101|12|30|14|59|0|0|100.0|0
010101121230|010101|202101|010401|01040101|12|30|14|59|0|1|100.0|0
010101131230|010101|202101|010401|01040101|12|30|14|59|0|2|100.0|0
010101211230|010101|202101|010401|01040101|12|30|14|59|1|0|100.0|0
010101221230|010101|202101|010401|01040101|12|30|14|59|1|1|100.0|0
010101231230|010101|202101|010401|01040101|12|30|14|59|1|2|100.0|0
010101311230|010101|202101|010401|01040101|12|30|14|59|2|0|200.0|0
010101321230|010101|202101|010401|01040101|12|30|14|59|2|1|200.0|0
010101331230|010101|202101|010401|01040101|12|30|14|59|2|2|200.0|0
01010111190|010101|202101|010401|01040101|19|0|21|29|0|0|100.0|0
01010112190|010101|202101|010401|01040101|19|0|21|29|0|1|100.0|0
01010113190|010101|202101|010401|01040101|19|0|21|29|0|2|100.0|0
01010121190|010101|202101|010401|01040101|19|0|21|29|1|0|100.0|0
01010122190|010101|202101|010401|01040101|19|0|21|29|1|1|100.0|0
01010123190|010101|202101|010401|01040101|19|0|21|29|1|2|100.0|0
01010131190|010101|202101|010401|01040101|19|0|21|29|2|0|200.0|0
01010132190|010101|202101|010401|01040101|19|0|21|29|2|1|200.0|0
01010133190|010101|202101|010401|01040101|19|0|21|29|2|2|200.0|0
010104111030|010104|200004|010401|01040101|10|30|12|29|0|0|100.0|0
010104121030|010104|200004|010401|01040101|10|30|12|29|0|1|100.0|0
010104131030|010104|200004|010401|01040101|10|30|12|29|0|2|100.0|0
010104211030|010104|200004|010401|01040101|10|30|12|29|1|0|100.0|0
010104221030|010104|200004|010401|01040101|10|30|12|29|1|1|100.0|0
010104231030|010104|200004|010401|01040101|10|30|12|29|1|2|100.0|0
