01040101|3|3
100.0|100.0|100.0
100.0|100.0|100.0
200.0|200.0|200.0
01040102|4|4
300.0|300.0|300.0|300.0
300.0|500.0|500.0|300.0
300.0|500.0|500.0|300.0
400.0|500.0|500.0|400.0
01040103|6|3
400.0|400.0|400.0
400.0|500.0|400.0
500.0|900.0|500.0
700.0|900.0|700.0
700.0|900.0|700.0
500.0|700.0|500.0
01040201|3|5
400.0|800.0|1000.0|800.0|400.0
400.0|800.0|1000.0|800.0|400.0
400.0|800.0|1000.0|800.0|400.0
01040202|3|3
150.0|150.0|150.0
150.0|150.0|150.0
150.0|150.0|150.0
01040203|4|3
500.0|630.0|500.0
500.0|650.0|500.0
500.0|650.0|500.0
500.0|650.0|500.0
01040301|3|3
1000.0|1500.0|1000.0
1000.0|1500.0|1000.0
1000.0|1500.0|1000.0
01040302|5|3
950.0|950.0|950.0
950.0|1000.0|950.0
1000.0|1350.0|1000.0
1100.0|1350.0|1100.0
1100.0|1200.0|1100.0
01040303|5|5
400.0|550.0|650.0|550.0|400.0
400.0|550.0|650.0|550.0|400.0
400.0|550.0|650.0|550.0|400.0
400.0|550.0|650.0|550.0|400.0
400.0|550.0|650.0|550.0|400.0
15040401|4|6
500.0|500.0|850.0|850.0|500.0|500.0
500.0|500.0|850.0|850.0|500.0|500.0
500.0|500.0|850.0|850.0|500.0|500.0
500.0|500.0|850.0|850.0|500.0|500.0
02050501|4|7
1000.0|1200.0|1500.0|1500.0|1500.0|1200.0|1000.0
1000.0|1200.0|1500.0|1500.0|1500.0|1200.0|1000.0
1000.0|1200.0|1500.0|1500.0|1500.0|1200.0|1000.0
1000.0|1200.0|1500.0|1500.0|1500.0|1200.0|1000.0
